台1,#genre#
Crime + Investigation HD,http://45.92.69.77:8000/play/a02s/index.m3u8
Crime + Investigation,http://local.xnetwork.club:8000/TnqHGikTMO/OBPvlEagIy/509
Crime + Investigation,http://world-ott.com:8080/sanaa/20202024an/73171
Crime + Investigation,http://world-ott.com:8080/sanaa/20202024an/30038
Crime + Investigation,http://world-ott.com:8080/sanaa/20202024an/5011
Crime + Investigation,http://world-ott.com:8080/sanaa/20202024an/71351
Crime + Investigation,http://world-ott.com:8080/sanaa/20202024an/71878
Crime + Investigation,http://world-ott.com:8080/sanaa/20202024an/71879
Crime + Investigation,http://world-ott.com:8080/sanaa/20202024an/30170
Crime + Investigation,http://world-ott.com:8080/sanaa/20202024an/61828
Crime + Investigation,http://world-ott.com:8080/sanaa/20202024an/58235
Crime + Investigation,http://world-ott.com:8080/sanaa/20202024an/73799
Crime + Investigation,http://world-ott.com:8080/sanaa/20202024an/36131
Crime + Investigation,http://world-ott.com:8080/sanaa/20202024an/62763
Crime + Investigation,http://world-ott.com:8080/sanaa/20202024an/62920
Crime + Investigation,http://world-ott.com:8080/sanaa/20202024an/35873
Crime + Investigation,http://world-ott.com:8080/sanaa/20202024an/62099
Crime + Investigation,http://world-ott.com:8080/sanaa/20202024an/75022
Crime + Investigation,http://world-ott.com:8080/sanaa/20202024an/74441
Crime + Investigation,http://world-ott.com:8080/sanaa/20202024an/34480
Crime + Investigation,http://world-ott.com:8080/sanaa/20202024an/34793
Pluto TV Crime+,http://service-stitcher.clusters.pluto.tv/stitch/hls/channel/5ffebbeabd18520007b37709/master.m3u8?appName=web&appVersion=unknown&clientTime=0&deviceDNT=0&deviceId=2c8a9391-e98a-11eb-a932-2f3c780ff9ff&deviceMake=Chrome&deviceModel=web&deviceType=web&deviceVersion=unknown&includeExtendedEvents=false&serverSideAds=false&sid=fc31112d-4925-4f44-b50f-ddf0ca08e7c7
Pluto TV CSI,https://service-stitcher.clusters.pluto.tv/stitch/hls/channel/5efbd29e4aa26700076c0d06/master.m3u8?advertisingId=&appName=web&appStoreUrl=&appVersion=DNT&app_name=&architecture=&buildVersion=&deviceDNT=0&deviceId=5efbd29e4aa26700076c0d06&deviceLat=&deviceLon=&deviceMake=web&deviceModel=web&deviceType=web&deviceVersion=DNT&includeExtendedEvents=false&marketingRegion=US&serverSideAds=false&sid=355&terminate=false&userId=
Pluto TV Crime Investigation 360,https://service-stitcher.clusters.pluto.tv/v1/stitch/embed/hls/channel/6000a5a9e767980007b497ca/master.m3u8?advertisingId=channel&appName=rokuchannel&appVersion=1.0&bmodel=bm1&channel_id=channel&content=channel&content_rating=ROKU_ADS_CONTENT_RATING&content_type=livefeed&coppa=false&deviceDNT=1&deviceId=channel&deviceMake=rokuChannel&deviceModel=web&deviceType=rokuChannel&deviceVersion=1.0&embedPartner=rokuChannel&genre=ROKU_ADS_CONTENT_GENRE&is_lat=1&platform=web&rdid=channel&studio_id=viacom&tags=ROKU_CONTENT_TAGS
Pluto TV Crime Investigation,https://service-stitcher.clusters.pluto.tv/v1/stitch/embed/hls/channel/5ea18cd42ee5410007e349dc/master.m3u8?advertisingId=channel&appName=rokuchannel&appVersion=1.0&bmodel=bm1&channel_id=channel&content=channel&content_rating=ROKU_ADS_CONTENT_RATING&content_type=livefeed&coppa=false&deviceDNT=1&deviceId=channel&deviceMake=rokuChannel&deviceModel=web&deviceType=rokuChannel&deviceVersion=1.0&embedPartner=rokuChannel&genre=ROKU_ADS_CONTENT_GENRE&is_lat=1&platform=web&rdid=channel&studio_id=viacom&tags=ROKU_CONTENT_TAGS
Pluto TV Historia,https://service-stitcher.clusters.pluto.tv/stitch/hls/channel/5de5758e1a30dc00094fcd6c/master.m3u8?advertisingId=&appName=web&appVersion=5.14.0-0f5ca04c21649b8c8aad4e56266a23b96d73b83a&app_name=web&clientDeviceType=0&clientID=6fbead95-26b1-415d-998f-1bdef62d10be&clientModelNumber=na&deviceDNT=false&deviceId=6fbead95-26b1-415d-998f-1bdef62d10be&deviceLat=19.4358&deviceLon=-99.1441&deviceMake=Chrome&deviceModel=web&deviceType=web&deviceVersion=88.0.4324.150&marketingRegion=VE&serverSideAds=false&sessionID=b8e5a857-714a-11eb-b532-0242ac110002&sid=b8e5a857-714a-11eb-b532-0242ac110002&userId=
Pluto TV Historias de Ultratumba,https://service-stitcher.clusters.pluto.tv/stitch/hls/channel/5f4d3696d938c900072679fd/master.m3u8?advertisingId=&appName=web&appVersion=5.14.0-0f5ca04c21649b8c8aad4e56266a23b96d73b83a&app_name=web&clientDeviceType=0&clientID=6fbead95-26b1-415d-998f-1bdef62d10be&clientModelNumber=na&deviceDNT=false&deviceId=6fbead95-26b1-415d-998f-1bdef62d10be&deviceLat=19.4358&deviceLon=-99.1441&deviceMake=Chrome&deviceModel=web&deviceType=web&deviceVersion=88.0.4324.150&marketingRegion=VE&serverSideAds=false&sessionID=b8e5a857-714a-11eb-b532-0242ac110002&sid=b8e5a857-714a-11eb-b532-0242ac110002&userId=
Pluto TV History,http://daddyserver.com:8080/Libra/k5GP3C3lGo/10539
Pluto TV HISTORY,https://service-stitcher.clusters.pluto.tv/stitch/hls/channel/5a4d35dfa5c02e717a234f86/master.m3u8?advertisingId=&appName=web&appStoreUrl=&appVersion=DNT&app_name=&architecture=&buildVersion=&deviceDNT=0&deviceId=5a4d35dfa5c02e717a234f86&deviceLat=&deviceLon=&deviceMake=web&deviceModel=web&deviceType=web&deviceVersion=DNT&includeExtendedEvents=false&marketingRegion=US&serverSideAds=false&sid=651&terminate=false&userId=
Pluto TV HISTORY,https://service-stitcher.clusters.pluto.tv/stitch/hls/channel/5d767b1c126c65d0a307355f/master.m3u8?advertisingId=&appName=web&appStoreUrl=&appVersion=DNT&app_name=&architecture=&buildVersion=&deviceDNT=1&deviceId=5d767b1c126c65d0a307355f&deviceLat=&deviceLon=&deviceMake=web&deviceModel=web&deviceType=web&deviceVersion=DNT&includeExtendedEvents=false&marketingRegion=DE&serverSideAds=false&sid=52e8f9a9-0583-11eb-97af-0242ac110002&terminate=false&userId=
Pluto TV HISTORY,https://service-stitcher.clusters.pluto.tv/v1/stitch/embed/hls/channel/5a4d35dfa5c02e717a234f86/master.m3u8?advertisingId=channel&appName=rokuchannel&appVersion=1.0&bmodel=bm1&channel_id=channel&content=channel&content_rating=ROKU_ADS_CONTENT_RATING&content_type=livefeed&coppa=false&deviceDNT=1&deviceId=channel&deviceMake=rokuChannel&deviceModel=web&deviceType=rokuChannel&deviceVersion=1.0&embedPartner=rokuChannel&genre=ROKU_ADS_CONTENT_GENRE&is_lat=1&platform=web&rdid=channel&studio_id=viacom&tags=ROKU_CONTENT_TAGS
Pluto TV HISTORY,https://service-stitcher.clusters.pluto.tv/v1/stitch/embed/hls/channel/5d4af1803e7983b391d73b13/master.m3u8?advertisingId=channel&appName=rokuchannel&appVersion=1.0&bmodel=bm1&channel_id=channel&content=channel&content_rating=ROKU_ADS_CONTENT_RATING&content_type=livefeed&coppa=false&deviceDNT=1&deviceId=channel&deviceMake=rokuChannel&deviceModel=web&deviceType=rokuChannel&deviceVersion=1.0&embedPartner=rokuChannel&genre=ROKU_ADS_CONTENT_GENRE&is_lat=1&platform=web&rdid=channel&studio_id=viacom&tags=ROKU_CONTENT_TAGS
TVS Hollywood History,http://daddyserver.com:8080/Libra/k5GP3C3lGo/122863
TVS Hollywood History,https://rpn1.bozztv.com/36bay2/gusa-tvshollywoohistory/mono.m3u8
罪案偵緝頻道, http://fu2.ottclub.info:1935/live/c058.stream/playlist.m3u8?a=5729e7cb&b=CV7FkpH1L1uTKMIHXI18zA
罪案偵緝頻道, http://fu2.ottclub.info:1935/live/c558.stream/playlist.m3u8?a=5729e7cb&b=CV7FkpH1L1uTKMIHXI18zA
罪案偵緝頻道, http://www.yhlfs.xyz/iptvs/oofmTV.php?id=88
罪案偵緝頻道, http://qqq.okokip.com:8040/nimble_live/243/chunks.m3u8
罪案侦辑頻道, http://50.7.220.74:8278/ci_twn/playlist.m3u8?tid=m2d09f7473c8214224973&ct=17877&tsum=eb2ddbfed683e40621e2b023bf017892
CI罪案偵查頻道,http://mozai.4gtv.tv/m3u8/embed/4gtv-4gtv027/master.m3u8?token=s88Zcb4-gm_SC7-DQm4sAA&expires=1494745215
CI罪案偵查頻道,http://mozai.4gtv.tv/m3u8/embed/4gtv-4gtv027/master.m3u8?token=fLyaXa8CtV7X40QI8l9a4Q&expires=1494745203
Ci罪案侦缉頻道, http://192.240.106.42:7002/33
CI罪案偵查頻道, http://tw.iptv8k.org/gftv.m3u8?id=443cab8c7be0e7c7
Ci罪案侦缉, http://kk.luoke.net.cn/tw/asbb.php?id=058
罪案偵輯, http://50.7.220.74:8278/ci_twn/playlist.m3u8?tid=m2d09f7473c8214224973&ct=17877&tsum=eb2ddbfed683e40621e2b023bf017892
CI TW,http://live9.cdn.iptv8k.org/live/crimeinvestigationkbmm15/s.m3u8
Crime & Investigation,http://ott.artmott.com/CrimeAndInvestigation/tracks-v1a1/mono.m3u8
Crime & Investigation,http://203.154.243.31:15001
Crime & Investigation,http://live7.cdn.iptv8k.org/live/mys141/s.m3u8
Crime & Investigation,http://pdd2.loginto.me:443/cdn78/tot_ci_360p/playlist.m3u8
Crime & Investigation 美國,http://live7.cdn.iptv8k.org/live/mys141/s.m3u8
Crime & Investigation 英國,http://xxultraxx.com:80/assad/assad/748
Crime & Investigation 英國,http://xxultraxx.com:80/assad/assad/11285
Crime & Investigation 法國,http://vip-max.com:5555/user/pass/37346
Crime & Investigation 法國,http://vip-max.com:5555/user/pass/31425
Crime & Investigation,http://92.14.111.173:8007/play/a00u
Crime & Investigation,http://vip-max.com:5555/user/pass/103604
Crime & Investigation,http://pdd2.loginto.me:443/cdn78/tot_ci_360p/playlist.m3u8
Crime & Investigation,http://qqtv.nl:8080/OrangeaAndApple/$eK7pYrSG5Cfffxxxxyz/52964
Crime & Investigation,http://1369476438.rsc.cdn77.org:80/view.php?type=m3u8&id=cn_1_11013&key=84797b799ae18d1b
Crime & Investigation,http://cdn-07.sdn.si/crimeinvestigation/crimeinvestigation.isml/crimeinvestigation-video%3D1500000-audio101%3D128000.m3u8
EVE, http://live8.cdn.iptv8k.org/live/evediscoverykbmm11/s.m3u8
EVE, http://qqq.okokip.com:8040/nimble_live/215/chunks.m3u8
EVE, http://50.7.77.130:50142/47
EVE, http://www.yhlfs.xyz/iptvs/oofmTV.php?id=14
EVE, http://fu3.ottclub.info:1935/live/c743.stream/playlist.m3u8?a=5729e7cb&b=CV7FkpH1L1uTKMIHXI18zA
EVE, http://fu3.ottclub.info:1935/live/c243.stream/playlist.m3u8?a=5729e7cb&b=CV7FkpH1L1uTKMIHXI18zA
EVE, http://1369476438.rsc.cdn77.org:80/view.php?type=m3u8&id=cn_3_13006&key=84797b799ae18d1b
EVE, http://210.201.54.102/gtlive/Dhome_sp.sdp/playlist.m3u8?t=C27EB7B0A9545EDF2331AE48B71F9EF8FCA5DD57B5A4F9868B1AD3A1E5496E61
EVE, http://kb1.ottclub.info:443/water/c728.stream/playlist.m3u8?a=58f0bed9&b=Pu51-RhPi8nT4tEu1fDndw
History, http://192.240.106.178:7012/38
History, http://160.119.77.50/iptv/hd-historyeng.stream/playlist.m3u8
History, http://160.119.77.50/iptv/uk-discoveryhistory.stream/playlist.m3u8
History, http://1369476438.rsc.cdn77.org:80/view.php?type=m3u8&id=cn_0_8811&key=84797b799ae18d1b
History, http://58.99.33.16:1935/liveedge6/live_019.stream/playlist.m3u8?checkCode=37050688asdfsdfsadf
History, http://pili-live-hdl.qhmywl.com/dsdtv/998ce23199bda76900024601f6dd859d.flv
History, http://192.240.127.34:1935/live/cs14.stream/playlist.m3u8?wowzasessionid=1203854395
History, http://sl.cdn.iutpcdn.com/LIVE/H01/CANAL353/PROFILE03.m3u8
History, http://195.206.253.157:8101/history
History, http://yura2121.iptvbot.biz/iptv/NBLWRC69E9VPB4/231/index.m3u8
History, http://ott-cdn.ucom.am/s70/index.m3u8
History, http://190.13.120.113/streams/history.m3u8
History, http://xxultraxx.com:80/assad/assad/2622
History, http://xxultraxx.com:80/assad/assad/11284
History, http://iptv.electro-clair.net:8000/live/zizo/zizo/1767.m3u8
History, http://212.200.101.3:5000/udp/237.0.0.53:5000
History, http://46.234.100.41:8080/history/index.m3u8
History, http://200.76.77.237/LIVE/H01/CANAL353/PROFILE03.m3u8?-1332%2F149920150816T153535.ts=-1
History, http://200.76.77.237/LIVE/H01/CANAL353/PROFILE05.m3u8?-1332%2F149920150816T153535.ts=-1
History, http://163.172.100.183:9000/uGkAHSjf1h/7vTLmqnxHE/21633
History歷史頻道, http://tw.iptv8k.org/gftv.m3u8?id=5bddcbd56e474934
HISTORY, http://live7.cdn.iptv8k.org/live/mys162/s.m3u8#http://tw.iptv8k.org/gftv.m3u8?id=5bddcbd56e474934
History, http://mozai.4gtv.tv/m3u8/embed/4gtv-4gtv026/master.m3u8?token=Nju6x8XzQwdsNxVXFXZ6Bg&expires=1494745200
History, http://cdn-07.sdn.si/historychannel/historychannel.isml/historychannel-video%3D1500000-audio101%3D128000.m3u8
HISTORY 英國, http://93.174.95.125:1935/edge/_definst_/logojbjhar79pc8/manifest.m3u8?wowzasessionid=1426231700
HISTORY 美國, http://live7.cdn.iptv8k.org/live/mys162/s.m3u8
HISTORY 美國, http://93.174.95.125:1935/edge/_definst_/dhp0rpd116qyyj6/playlist.m3u8?wowzasessionid=1419874554
History2,http://1369476438.rsc.cdn77.org:80/view.php?type=m3u8&id=cn_0_8812&key=84797b799ae18d1b
HISTORY2,http://pili-live-hdl.qhmywl.com/dsdtv/b4d47c14a4665a2ef43d657ea6384c27.flv
HISTORY頻道2,http://tw.iptv8k.org/gftv.m3u8?id=b448c6921bf4f3fd
History2,http://livecdnh1.tvanywhere.ae:80/hls/h2/05.m3u8
H2,http://livecdnh1.tvanywhere.ae:80/hls/h2/05.m3u8
H2,http://92.14.111.173:8007/play/a00y
H2,http://mozai.4gtv.tv/m3u8/embed/4gtv-4gtv028/master.m3u8?token=pZPn6S4uh276zr8NHd9SVQ&expires=1494745217
##

人文,#genre#
動物星球,http://220.134.196.147:9566/http/116.50.42.18:8088/hls/70/812/ch37.m3u8?token=7375646f37d6b4749c6736c4160c9b3011e5cfda
動物星球,http://50.7.220.74:8278/animalplanet_twn/playlist.m3u8?tid=ME1E7303496773034967&ct=19225&tsum=07b0edc521a4edcb7a00d7e943b8aa72
動物星球,https://epg.pw/stream/ecfc97933454caa82c404b94ae442522528c8d4925850ed0f3c4bb9efa0bd3a4.m3u8
動物星球,http://50.7.168.234:8278/animalplanet_twn/playlist.m3u8?tid=MB5B6275336662753366&ct=19352&tsum=5f76852995fdfebd5e4e246756c198b0
動物星球,http://198.16.64.10:8278/animalplanet_twn/playlist.m3u8?tid=ME1E7303496773034967&ct=19225&tsum=07b0edc521a4edcb7a00d7e943b8aa72
動物星球,http://198.16.64.10:8278/animalplanet_twn/playlist.m3u8?tid=m4da2c053371613331372&ct=17874&tsum=4481f502bb91c2c67964feecfbc4b702
動物星球,http://198.16.64.10:8278/animalplanet_twn/playlist.m3u8?tid=MABA3681856636818566&ct=18393&tsum=2066d4c793195f8449577d35af941288
動物星球,http://50.7.220.74:8278/animalplanet_twn/playlist.m3u8?tid=MABA3681856636818566&ct=18393&tsum=2066d4c793195f8449577d35af941288
動物星球,http://50.7.168.234:8278/animalplanet_twn/playlist.m3u8?tid=MF9F9255818592558185&ct=19344&tsum=749eaebb64cf95e20862c56226a8446e
動物星球,http://50.7.168.234:8278/animalplanet_twn/playlist.m3u8?tid=ME5E9654770896547708&ct=19338&tsum=775367f2f591f704aaf1489d70434b49
國家地理頻道,http://198.16.64.10:8278/natgeohd_twn/playlist.m3u8?tid=ME0E9332119893321198&ct=19225&tsum=86a42e161c519916f498348c3c672787
國家地理頻道,http://50.7.220.74:8278/natgeohd_twn/playlist.m3u8?tid=MB5B4841803948418039&ct=18393&tsum=a2343b2c061fc9de3fa7857e832d9625
國家地理台灣,http://218.32.47.179:18509/.m3u8
國家地理台灣,http://218.32.47.179:18509/http/192.168.1.9:8081/hls/61/803/ch01.m3u8
國家地理台灣,http://220.134.196.147:9569/http/116.50.42.19:8081/hls/61/803/ch01.m3u8?token=7375646f0018ec77aceebbf3924e73d31e06ebef
國家地理野生,http://198.16.64.10:8278/natgeowild_twn/playlist.m3u8?tid=mc9d789e8a1bb12836354&ct=17877&tsum=82c5ce1596dc364c112c79b239c3f5e8
國家地理野生,http://198.16.64.10:8278/natgeowild_twn/playlist.m3u8?tid=MDDD9803492998034929&ct=18393&tsum=b276f2598186cdc8f4c513d89bfc2032
國家地理野生,https://sc.id-tv.kz/NatGeoWildHD_34_35.m3u8
國家地理野生,http://50.7.220.74:8278/natgeowild_twn/playlist.m3u8?tid=mc9d789e8a1bb12836354&ct=17877&tsum=82c5ce1596dc364c112c79b239c3f5e8
國家地理野生,http://198.16.64.10:8278/natgeowild_twn/playlist.m3u8?tid=ME7E6122598161225981&ct=19225&tsum=c88897efa30d472128421acf3d4b62c8
國家地理野生,http://50.7.220.74:8278/natgeowild_twn/playlist.m3u8?tid=ME7E6122598161225981&ct=19225&tsum=c88897efa30d472128421acf3d4b62c8
Pet Club TV,http://www.336699.live:1935/blocksix/4gtv-live110.stream/chunklist.m3u8
HGTV,http://198.16.64.10:8278/HGTV/playlist.m3u8?tid=MA6A4582634045826340&ct=19225&tsum=cc71b142aa9f87185b6496fc6c7724ba
影迷數位紀實台,http://www.336699.live:1935/blocksix/4gtv-live023.stream/chunklist.m3u8
CNEX 紀實頻道,http://www.336699.live:1935/blockfour/4gtv-4gtv013.stream/playlist.m3u8
Love Nature,http://www.336699.live:1935/blocksix/4gtv-live208.stream/chunklist.m3u8
History 歷史頻道,http://www.336699.live:1935/blocksix/4gtv-live026.stream/chunklist.m3u8
探索頻道 HD,http://50.7.220.74:8278/ba86fcd935/playlist.m3u8?tid=m1b458a366fcb&ct=18335&tsum=6ee1498a5e37d8bd1e3f62954629ed4f
探索頻道 HD,http://50.7.220.74:8278/discoveryhd_twn/playlist.m3u8?tid=MB0B1462900214629002&ct=18393&tsum=ce9990e01102bf91728bdbbb549b04a7
探索頻道 HD,http://198.16.64.10:8278/ba86fcd935/playlist.m3u8?tid=m1b458a366fcb&ct=18335&tsum=6ee1498a5e37d8bd1e3f62954629ed4f
探索頻道 HD,http://198.16.64.10:8278/discoverych_twn/playlist.m3u8?tid=MA3A2844188928441889&ct=18393&tsum=5b966ba17918ab0d7dd4c462d1b0b811
探索頻道 HD,http://220.134.196.147:9568/http/116.50.42.19:8081/hls/71/813/ch44.m3u8?token=7375646f0018ec77aceebbf3924e73d31e06ebef
探索頻道 HD,http://50.7.220.74:8278/discoverych_twn/playlist.m3u8?tid=MA3A2844188928441889&ct=18393&tsum=5b966ba17918ab0d7dd4c462d1b0b811
探索頻道 HD,http://pull-l3-cny.douyincdn.com/live/34633761735b6c677356a7c551f89888.m3u8
探索動力,http://198.16.64.10:8278/discoveryturbo_twn/playlist.m3u8?tid=m33a70bc8259c12219783&ct=17877&tsum=b8470668b7a41d6b15a90b7aa43b3279
探索動力,http://198.16.64.10:8278/discoveryturbo_twn/playlist.m3u8?tid=MECE3122352031223520&ct=18393&tsum=66f49d6631e9a76ea563d20a25e0bd4c
,http://50.7.220.74:8278/discoveryturbo_twn/playlist.m3u8?tid=m33a70bc8259c12219783&ct=17877&tsum=b8470668b7a41d6b15a90b7aa43b3279
探索動力,http://198.16.64.10:8278/discoveryturbo_twn/playlist.m3u8?tid=MD5D5964869459648694&ct=19225&tsum=a21251b62069dff5c52601a3e4bc4a6d
探索科學,http://198.16.64.10:8278/discoverysc_twn/playlist.m3u8?tid=mc6599c2e8abf17200438&ct=17877&tsum=04c82c404888445ec55711287ad6b21b
探索科學,http://198.16.64.10:8278/discoverysc_twn/playlist.m3u8?tid=MA9A4194864841948648&ct=19225&tsum=d87ede28c5152d8a730038fd5fb8207f
探索科學,http://50.7.220.74:8278/discoverysc_twn/playlist.m3u8?tid=mc6599c2e8abf17200438&ct=17877&tsum=04c82c404888445ec55711287ad6b21b
探索亞洲,http://198.16.64.10:8278/discoverytwn_twn/playlist.m3u8?tid=MCEC2689621926896219&ct=19225&tsum=1739c52807970a89c1c15d7afea86b26
探索亞洲,http://198.16.64.10:8278/discoverytwn_twn/playlist.m3u8?tid=m42a2d91d6f2413622196&ct=17874&tsum=3653c4c61f0a0443dbb256dc465b4715
探索亞洲,http://198.16.64.10:8278/discoverytwn_twn/playlist.m3u8?tid=MAAA4463833744638337&ct=18393&tsum=c4bd4c633430327425e073012785525e
探索亞洲,http://50.7.220.74:8278/discoverytwn_twn/playlist.m3u8?tid=MAAA4463833744638337&ct=18393&tsum=c4bd4c633430327425e073012785525e
探索亞洲,http://50.7.220.74:8278/discoverytwn_twn/playlist.m3u8?tid=m42a2d91d6f2413622196&ct=17874&tsum=3653c4c61f0a0443dbb256dc465b4715
野生動物世界,http://tc-tct.douyucdn2.cn/dyliveflv3a/4837387rlw2Uy8Vt.flv?wsAuth=18ecc42f7592013fe6118da7ad7413ae&token=cpn-androidmpro-0-4837387-8ad81bcd9db6237ce2d0e981c4f8e9cc7a6b580446dfb8c1&logo=0&expire=0&did=d010b07dcb997ada9934081c873542f0&origin=tct&vhost=play4
野生動物世界,http://tc-tct.douyucdn2.cn/dyliveflv3a/4837387rlw2Uy8Vt.flv?wsAuth=6f7e4caf076b5849e054b9d10e3dd9b6&token=cpn-androidmpro-0-4837387-8ad81bcd9db6237cfa3af7a53bd965ac423deba96b443ecb&logo=0&expire=0&did=d010b07dcb997ada9934081c873542f0&origin=tct&vhost=play4
野生動物世界,http://tc-tct.douyucdn2.cn/dyliveflv3a/4837387rlw2Uy8Vt.flv?wsAuth=bf409ee21a05eface8ef683ed3af5304&token=cpn-androidmpro-0-4837387-8ad81bcd9db6237c33e2b95b36532300ec052fb3fde382a8&logo=0&expire=0&did=d010b07dcb997ada9934081c873542f0&origin=tct&vhost=play4
野生動物世界,http://tc-tct.douyucdn2.cn/dyliveflv3a/4837387rlw2Uy8Vt.flv?wsAuth=2508a784a5f5d13ac3db5195900307a4&token=cpn-androidmpro-0-4837387-8ad81bcd9db6237c6e7d241ca25c34a63908af24f643f720&logo=0&expire=0&did=d010b07dcb997ada9934081c873542f0&origin=tct&vhost=play4
野生動物世界,http://tc-tct.douyucdn2.cn/dyliveflv3a/4837387rlw2Uy8Vt.flv?wsAuth=0b4ed9b162a1abebabc424c2c8363445&token=cpn-androidmpro-0-4837387-8ad81bcd9db6237ceae3cf3aa8a2bef2ebaed5e0f6e6c25e&logo=0&expire=0&did=d010b07dcb997ada9934081c873542f0&origin=tct&vhost=play4
美國中文,https://cdnts.sinovision.net/livestream.m3u8
美國中文,https://jpts.sinovision.net/livestream.m3u8
美國歷史,https://bk7l2w4nlx53-hls-live.5centscdn.com/HISTORY/961ac1c875f5884f31bdd177365ef1e3.sdp/playlist.m3u8
##


電影,#genre#
影迷數位電影台,http://www.336699.live:1935/blockfour/4gtv-4gtv011.stream/.m3u8
影迷數位電影台,http://www.336699.live:1935/blockfour/4gtv-4gtv011.stream/playlist.m3u8
緯來電影 HD,https://pull-l3-cny.douyincdn.com/live/6de7ee8878da79aaf393c0f63081cb0c.m3u8
緯來電影 HD,http://50.7.220.74:8278/videolandmovie/playlist.m3u8?tid=ma2dac66da407&ct=18335&tsum=9a5a39559f64a71081ef9b3a85f2886c
東森電影,http://27.47.71.226:8088/hls/32/index.m3u8
東森電影,http://27.47.71.228:8088/hls/32/index.m3u8
東森電影,http://27.47.71.9:8088/hls/32/index.m3u8
東森電影,http://120.84.96.28:808/hls/32/index.m3u8
東森電影,http://120.84.96.44:808/hls/32/index.m3u8
東森電影,http://120.84.96.73:808/hls/32/index.m3u8
東森電影,http://120.84.96.89:808/hls/32/index.m3u8
東森電影,http://120.84.96.96:808/hls/32/index.m3u8
東森電影,http://120.84.96.108:808/hls/32/index.m3u8
東森電影,http://120.84.96.110:808/hls/32/index.m3u8
東森電影,http://120.84.96.113:808/hls/32/index.m3u8
東森電影,http://120.84.96.120:808/hls/32/index.m3u8
東森電影,http://120.84.96.122:808/hls/32/index.m3u8
東森電影,http://120.84.96.126:808/hls/32/index.m3u8
東森電影,http://120.84.96.133:808/hls/32/index.m3u8
東森電影,http://107.151.203.111:2209/135/hk.php?id=dsdyt
東森電影,http://198.16.64.10:8278/ettvmovie/playlist.m3u8?tid=MDED1943740419437404&ct=19225&tsum=120834a4218c4b5c3bb19efb8116f859
東森電影,http://50.7.220.74:8278/ettvmovie/playlist.m3u8?tid=MEDE1688528216885282&ct=19193&tsum=843fbd698e260c1fcda128dce85ead3b
東森電影,http://198.16.64.10:8278/ettvmovie/playlist.m3u8?tid=MBDB9268852192688521&ct=19254&tsum=7514b50ebc2e4b06f2e402578d0ac996
東森電影,http://198.16.64.10:8278/ettvmovie/playlist.m3u8?tid=md2ba4c243ed411481253&ct=17874&tsum=4637ffbc3260e78931b566300e618313
東森電影,http://50.7.220.74:8278/ettvmovie/playlist.m3u8?tid=md2ba4c243ed411481253&ct=17874&tsum=4637ffbc3260e78931b566300e618313
