🍑測試168.777,#genre#
HBO HD,http://137.175.36.206:8188/hbohd_twn/playlist.m3u8?tid=m8d785f4e022616401837&ct=17877&tsum=56e767abfc65234db52b017576b00403
HBO HD,http://137.175.36.206:8188/hbohd_twn/playlist.m3u8?tid=MBBB7425808074258080&ct=19193&tsum=a0bdd395bfc4cf07d9414d5372f59ad2
HBO 原創鉅獻,http://198.16.64.10:8278/hbosignature_twn/playlist.m3u8?tid=MC5C5754321157543211&ct=19225&tsum=2b86077147813534b4cae6dd85bb3c4a
HBO 原創鉅獻,http://50.7.220.74:8278/hbosignature_twn/playlist.m3u8?tid=m48ee99a5dacb15948906&ct=17874&tsum=3d127801d49fa098b4118400117b4fbb
HBO原創,http://brtv2021.top:8080/Fuyjhhg435/GgQZgpNZjF/10122
HBO原創,http://brtv2021.top:8080/Fuyjhhg435/GgQZgpNZjF/10630
HBO原創,http://pull-l3-cny.douyincdn.com/third/stream-9bfb4b08fec367ed3850357a853250d5.m3u8
HBO原創,http://137.175.36.206:8188/hbosignature_twn/playlist.m3u8?tid=MC5C5754321157543211&ct=19225&tsum=2b86077147813534b4cae6dd85bb3c4a
HBO原創,http://208.115.225.174:14160
HBO原創,http://line.premiumpowers.net:80/Manuel/1234567/941645
HBO原創,http://pull-l3-cny.douyincdn.com/third/stream-9bfb4b08fec367ed3850357a853250d5.m3u8
HBO原創,http://zhanglulai.tpddns.cn:818/73403424_0_11613_43193_0_1_61_127_128_61_16.ts
HBO原創,http://zhanglulai.tpddns.cn:8181/73403424_0_11613_43193_0_1_61_127_128_61_16.ts
HBO原創,http://198.16.64.10:8278/hbosignature_twn/playlist.m3u8?
tid=m48ee99a5dacb15948906&ct=17874&tsum=3d127801d49fa098b4118400117b4fbb
HBO原創,http://198.16.64.10:8278/hbosignature_twn/playlist.m3u8?tid=MD6D5767423357674233&ct=18392&tsum=995709f1100cf1b07964790160bfb4ee
HBO原創,http://50.7.220.74:8278/hbosignature_twn/playlist.m3u8?tid=m48ee99a5dacb15948906&ct=17874&tsum=3d127801d49fa098b4118400117b4fbb
HBO原創,http://pull-l3-cny.douyincdn.com/live/9bfb4b08fec367ed3850357a853250d5.m3u8
HBO原創,http://192.168.1.113:81/73403424_0_11613_43193_0_1_61_127_128_61_16.ts
HBO強檔,http://zhanglulai.tpddns.cn:8181/73403422_0_11613_43193_0_1_152_156_185_152_16.ts
HBO強檔,http://zhanglulai.tpddns.cn:818/73403422_0_11613_43193_0_1_152_156_185_152_16.ts
HBO強檔,http://50.7.220.74:8278/hbohead_twn/playlist.m3u8?tid=MCDC6663932966639329&ct=19193&tsum=6999a99699b097f3af2ef550e5c81f93
HBO強檔,http://192.168.1.113:81/73403422_0_11613_43193_0_1_152_156_185_152_16.ts
HBO強檔,http://line.premiumpowers.net:80/Manuel/1234567/941647
HBO強檔,http://baidu.douyincdn.freetvtv.com/hbohits/index.m3u8
HBO強檔,http://pull-l3-cny.douyincdn.com/live/162f0111fdd134e929d72640e6c4ea56.m3u8
HBO強檔,http://pull-l3-cny.douyincdn.com/third/stream-162f0111fdd134e929d72640e6c4ea56.m3u8
HBO強檔,http://137.175.36.206:8188/hbohead_twn/playlist.m3u8?tid=MCDC6663932966639329&ct=19193&tsum=6999a99699b097f3af2ef550e5c81f93
HBO家庭,http://brtv2021.top:8080/Fuyjhhg435/GgQZgpNZjF/10121
HBO家庭,http://brtv2021.top:8080/Fuyjhhg435/GgQZgpNZjF/10119
HBO家庭,http://brtv2021.top:8080/Fuyjhhg435/GgQZgpNZjF/10615
HBO家庭,http://brtv2021.top:8080/Fuyjhhg435/GgQZgpNZjF/10623
HBO家庭,http://208.115.225.174:14148
HBO家庭,http://zhanglulai.tpddns.cn:8181/73403423_0_11613_43193_0_1_42_49_53_42_16.ts
HBO家庭,http://zhanglulai.tpddns.cn:818/73403423_0_11613_43193_0_1_42_49_53_42_16.ts
HBO家庭,http://192.168.1.113:81/73403423_0_11613_43193_0_1_42_49_53_42_16.ts
HBO家庭,http://198.16.64.10:8278/fyi_twn/playlist.m3u8?tid=m99b80124e3b4&ct=18337&tsum=73f6f540497de9a5615b9bd55bec8853
HBO家庭,http://198.16.64.10:8278/fyi_twn/playlist.m3u8?tid=MFCF7312728573127285&ct=18393&tsum=bc4d3db9ca83c3765cc75512a1bbbbe3
HBO家庭,http://pull-l3-cny.douyincdn.com/live/1279e1fd458348b32fd60381b1017c09.m3u8
HBO家庭,http://50.7.220.74:8278/fyi_twn/playlist.m3u8?tid=MFCF7312728573127285&ct=18393&tsum=bc4d3db9ca83c3765cc75512a1bbbbe3
HBO家庭,http://pull-l3-cny.douyincdn.com/third/stream-1279e1fd458348b32fd60381b1017c09.m3u8
HBO家庭,http://line.premiumpowers.net:80/Manuel/1234567/941646
HBO Signature,http://50.7.220.74:8278/hbosignature_twn/playlist.m3u8?tid=MD6D5767423357674233&ct=18392&tsum=995709f1100cf1b07964790160bfb4ee
##


🍊777,#genre#
金馬影院,http://hpull.kktv8.com/livekktv/128600025/playlist.m3u8
星卫电影,http://185.243.7.13/play/live.php?mac=00:1A:79:BF:D2:44&extension=ts&play_token=1pLS8RVt8V&stream=941625
星卫电影,http://185.243.7.13:80/play/live.php?mac=00:1A:79:45:5E:9A&stream=941625&extension=ts&play_token=vFR5CkmzbA
星卫电影台,http://www.yshmzmc.top/gtjm.php?id=live1031
星卫电影台,http://123.58.201.173:52411/test/lshotel.php?id=54
星衛電影,http://data.3g.yy.com/live/hls/29900720/29900720
星衛電影 HD,http://198.16.64.10:8278/xingwei_movie/playlist.m3u8?tid=ma80888ed462f18082236&ct=17874&tsum=2824e7b9d4ec19ce7b4f8f69d23d7ceb
星衛電影 HD,http://198.16.64.10:8278/xingwei_movie/playlist.m3u8?tid=MBDB4578128345781283&ct=19225&tsum=f2041ec954c95b4a5fe29d7ccbfe5b60
星衛電影 HD,http://50.7.220.74:8278/xingwei_movie/playlist.m3u8?tid=ME6E2875344228753442&ct=18392&tsum=c21fc395d9e540e48d429400b2fb0b05
星衛電影 HD,http://50.7.220.74:8278/xingwei_movie/playlist.m3u8?tid=ma80888ed462f18082236&ct=17874&tsum=2824e7b9d4ec19ce7b4f8f69d23d7ceb
星衛電影台,http://23.237.10.66:16359
星衛電影台,http://pull-l3-cny.douyincdn.com/third/stream-80d54eadb8f343a8b837c22e336155d1.m3u8
星衛電影台,http://137.175.36.206:8188/xingwei_movie/playlist.m3u8?tid=ma80888ed462f18082236&ct=17874&tsum=2824e7b9d4ec19ce7b4f8f69d23d7ceb
星衛電影台,http://pull-l3-cny.douyincdn.com/live/80d54eadb8f343a8b837c22e336155d1.m3u8
星衛電影台,http://50.7.220.74:8278/xingwei_movie/playlist.m3u8?tid=MBAB2096754620967546&ct=18392&tsum=2c800c1f0b6cc98d2404608c294dcbc2
星衛電影 HD,http://198.16.64.10:8278/xingwei_movie/playlist.m3u8?tid=MBAB2096754620967546&ct=18392&tsum=2c800c1f0b6cc98d2404608c294dcbc2
美亞電影,http://198.16.64.10:8278/meiyamovie_twn/playlist.m3u8?tid=MD3D6323299363232993&ct=18392&tsum=3f73f541d33abe71140d28ada99a071b#http://137.175.36.206/bc.php?playurl=http://137.175.36.206:8188/meiyamovie_twn/playlist.m3u8#http://pull-l3-cny.douyincdn.com/live/b16e0049bdda5f54e62d3c9b694d81ff.m3u8
美亞電影 HD,http://198.16.64.10:8278/meiyamovie_twn/playlist.m3u8?tid=mcfe3e109029013892155&ct=17874&tsum=164baeda6ab6c4160f2775128cfc6f4e
美亞電影 HD,http://198.16.64.10:8278/meiyamovie_twn/playlist.m3u8?tid=MD3D6323299363232993&ct=18392&tsum=3f73f541d33abe71140d28ada99a071b
美亞電影 HD,http://198.16.64.10:8278/meiyamovie_twn/playlist.m3u8?tid=MFEF1001328410013284&ct=19226&tsum=9839709ca0f37641c5d1ba962c3bc739
美亞電影,http://137.175.36.206:8188/meiyamovie_twn/playlist.m3u8?tid=MD3D6323299363232993&ct=18392&tsum=3f73f541d33abe71140d28ada99a071b
美亞電影,http://137.175.36.206:8188/meiyamovie_twn/playlist.m3u8?tid=mcfe3e109029013892155&ct=17874&tsum=164baeda6ab6c4160f2775128cfc6f4e
美亞電影,http://198.16.64.10:8278/meiyamovie_twn/playlist.m3u8?tid=ME9E6301165163011651&ct=19249&tsum=c2c246af848b424b68e94e4b35cfa337
美亞電影,http://137.175.36.206:8188/meiyamovie_twn/playlist.m3u8?tid=MFEF1001328410013284&ct=19226&tsum=9839709ca0f37641c5d1ba962c3bc739
美亚电影,http://hs.nowtv.lol/cymxgzmn/12345678/947
美亞電影,http://pull-l3-cny.douyincdn.com/third/stream-b16e0049bdda5f54e62d3c9b694d81ff.m3u8
美亞電影,https://pull-l3-cny.douyincdn.com/live/b16e0049bdda5f54e62d3c9b694d81ff.m3u8
美亞電影 HD,http://pull-l3-cny.douyincdn.com/live/b16e0049bdda5f54e62d3c9b694d81ff.m3u8
靖天電影,http://www.336699.live:1935/blockfour/4gtv-4gtv061.stream/playlist.m3u8
靖天電影,https://epg.pm/stream/9fa6de2761cb2aaac866db385868a1c4a4b1897e62dd7686d6cda9aa23936172.m3u8
龍華洋片,http://198.16.64.10:8278/lunghuawestern_twn/playlist.m3u8?tid=m8fe1f2649ecd12830420&ct=17874&tsum=a6674ed93a8ec4ea4705c721b752d4db
龍華洋片,http://198.16.64.10:8278/lunghuawestern_twn/playlist.m3u8?tid=MF2F4784718547847185&ct=19249&tsum=55fdf18d765f2692c0553d316b671326
龍華洋片,http://198.16.64.10:8278/lunghuawestern_twn/playlist.m3u8?tid=MC1C3944472239444722&ct=19226&tsum=99c0c7c82e2fc48b16605865c3eaeb82
龍華洋片,http://50.7.220.74:8278/lunghuawestern_twn/playlist.m3u8?tid=m8fe1f2649ecd12830420&ct=17874&tsum=a6674ed93a8ec4ea4705c721b752d4db
龍華洋片,http://137.175.36.206:8188/lunghuawestern_twn/playlist.m3u8?tid=m8fe1f2649ecd12830420&ct=17874&tsum=a6674ed93a8ec4ea4705c721b752d4db
龍華洋片,http://137.175.36.206:8188/lunghuawestern_twn/playlist.m3u8?tid=MC1C3944472239444722&ct=19226&tsum=99c0c7c82e2fc48b16605865c3eaeb82
龍華洋片,https://pull-l3-cny.douyincdn.com/live/7c4301f3ec1b9c970db0af9d1c07e66f.m3u8
龙华电影,https://epg.pw/stream/e4f21acda4343622520728335bad935a0f525b0afb005d52e8cb4f96c1c0f423.m3u8
龙华电影,http://123.58.201.173:52411/test/lshotel.php?id=57
龍華電影,http://220.134.196.147:9558/http/116.50.42.18:8066/hls/210/10014/cstv14.m3u8
龍華電影,http://www.336699.live:1935/blockfour/litv-longturn03.stream/playlist.m3u8
龍華電影,http://116.50.42.21:8575/.m3u8
龍華電影,http://218.32.47.179:18556/http/192.168.1.9:8066/hls/210/10014/cstv14.m3u8
龍華電影,http://116.50.42.21:8575/.m3u8
龍華電影,http://hblh.chinashadt.com:2036/live/stream:lh2.stream/playlist.m3u8
CATCHPLAY電影台,http://www.336699.live:1935/blockfour/4gtv-4gtv076.stream/playlist.m3u8
CATCHPLAY電影台,http://www.336699.live:1935/blockfour/4gtv-4gtv076.stream/.m3u8
影迷數位電影台,http://www.336699.live:1935/blockfour/4gtv-4gtv011.stream/playlist.m3u8
影迷數位電影台,http://www.336699.live:1935/blockfour/4gtv-4gtv011.stream/.m3u8
##

🥭罪案偵輯,#genre#
CI罪案侦查,http://du1.ottclub.info:1935/live/c058.stream/playlist.m3u8?a=574d6ebe&b=vU8dbohaTjAfT32W1VsjVg
History,http://192.168.1.113:81/57672705_0_11106_44992_0_0_1718_3718_718_1718_16.ts
History,http://zhanglulai.tpddns.cn:818/73417733_0_12270_29996_0_1_1226_1227_1228_1226_16.ts
History;http://zhanglulai.tpddns.cn:818/57680913_0_11544_44992_0_1_1117_3117_117_1117_16.ts
History,http://zhanglulai.tpddns.cn:818/73403396_0_11613_43193_0_1_37_36_34_37_16.ts
History,http://zhanglulai.tpddns.cn:8181/57672705_0_11106_44992_0_0_1718_3718_718_1718_16.ts
History,http://zhanglulai.tpddns.cn:8181/57680913_0_11544_44992_0_1_1117_3117_117_1117_16.ts
History,http://zhanglulai.tpddns.cn:8181/57683979_0_11606_44992_0_1_1311_3311_311_1311_16.ts
History,http://zhanglulai.tpddns.cn:8181/73403396_0_11613_43193_0_1_37_36_34_37_16.ts
History,http://zhanglulai.tpddns.cn:8181/73417733_0_12270_29996_0_1_1226_1227_1228_1226_16.ts
History,http://192.168.1.113:81/57680913_0_11544_44992_0_1_1117_3117_117_1117_16.ts
History,http://192.168.1.113:81/73417733_0_12270_29996_0_1_1226_1227_1228_1226_16.ts
History,http://192.168.1.113:81/73403396_0_11613_43193_0_1_37_36_34_37_16.ts
History,http://line.premiumpowers.net:80/Manuel/1234567/941661
History,https://sjva.soa1.duckdns.org/klive/api/url.m3u8?m=url&s=wavve&i=C5901
History,http://daddyserver.com:8080/Libra/k5GP3C3lGo/12027
History,http://abc123.digital:8080/Deacon68/uFHfwNRuHH/488026
History,http://192.240.106.178:7012/38
History,http://160.119.77.50/iptv/hd-historyeng.stream/playlist.m3u8
History,http://160.119.77.50/iptv/uk-discoveryhistory.stream/playlist.m3u8
History,http://1369476438.rsc.cdn77.org:80/view.php?type=m3u8&id=cn_0_8811&key=84797b799ae18d1b
History,http://58.99.33.16:1935/liveedge6/live_019.stream/playlist.m3u8?checkCode=37050688asdfsdfsadf
History,http://pili-live-hdl.qhmywl.com/dsdtv/998ce23199bda76900024601f6dd859d.flv
History,http://192.240.127.34:1935/live/cs14.stream/playlist.m3u8?wowzasessionid=1203854395
History,http://sl.cdn.iutpcdn.com/LIVE/H01/CANAL353/PROFILE03.m3u8
History,http://195.206.253.157:8101/history
History,http://yura2121.iptvbot.biz/iptv/NBLWRC69E9VPB4/231/index.m3u8
History,http://ott-cdn.ucom.am/s70/index.m3u8
History,http://190.13.120.113/streams/history.m3u8
History,http://xxultraxx.com:80/assad/assad/2622
History,http://xxultraxx.com:80/assad/assad/11284
History,http://iptv.electro-clair.net:8000/live/zizo/zizo/1767.m3u8
History,http://212.200.101.3:5000/udp/237.0.0.53:5000
History,http://46.234.100.41:8080/history/index.m3u8
History,http://200.76.77.237/LIVE/H01/CANAL353/PROFILE03.m3u8?-1332%2F149920150816T153535.ts=-1
History,http://200.76.77.237/LIVE/H01/CANAL353/PROFILE05.m3u8?-1332%2F149920150816T153535.ts=-1
History,http://163.172.100.183:9000/uGkAHSjf1h/7vTLmqnxHE/21633
History,http://tw.iptv8k.org/gftv.m3u8?id=5bddcbd56e474934
History,http://live7.cdn.iptv8k.org/live/mys162/s.m3u8#http://tw.iptv8k.org/gftv.m3u8?id=5bddcbd56e474934
History,http://www.336699.live:1935/blocksix/4gtv-live026.stream/chunklist.m3u8
History,http://mozai.4gtv.tv/m3u8/embed/4gtv-4gtv026/master.m3u8?token=Nju6x8XzQwdsNxVXFXZ6Bg&expires=1494745200
History,http://cdn-07.sdn.si/historychannel/historychannel.isml/historychannel-video%3D1500000-audio101%3D128000.m3u8
History英國,http://93.174.95.125:1935/edge/_definst_/logojbjhar79pc8/manifest.m3u8?wowzasessionid=1426231700
History美國,http://live7.cdn.iptv8k.org/live/mys162/s.m3u8
History美國,http://93.174.95.125:1935/edge/_definst_/dhp0rpd116qyyj6/playlist.m3u8?wowzasessionid=1419874554
History頻道2,http://tw.iptv8k.org/gftv.m3u8?id=b448c6921bf4f3fd
History2,http://1369476438.rsc.cdn77.org:80/view.php?type=m3u8&id=cn_0_8812&key=84797b799ae18d1b
History2,http://pili-live-hdl.qhmywl.com/dsdtv/b4d47c14a4665a2ef43d657ea6384c27.flv
History2,http://livecdnh1.tvanywhere.ae:80/hls/h2/05.m3u8
H2,http://livecdnh1.tvanywhere.ae:80/hls/h2/05.m3u8
H2,http://92.14.111.173:8007/play/a00y
H2,http://mozai.4gtv.tv/m3u8/embed/4gtv-4gtv028/master.m3u8?token=pZPn6S4uh276zr8NHd9SVQ&expires=1494745217
冥王星電視History,http://daddyserver.com:8080/Libra/k5GP3C3lGo/10539
冥王星電視History,https://service-stitcher.clusters.pluto.tv/stitch/hls/channel/5a4d35dfa5c02e717a234f86/master.m3u8?advertisingId=&appName=web&appStoreUrl=&appVersion=DNT&app_name=&architecture=&buildVersion=&deviceDNT=0&deviceId=5a4d35dfa5c02e717a234f86&deviceLat=&deviceLon=&deviceMake=web&deviceModel=web&deviceType=web&deviceVersion=DNT&includeExtendedEvents=false&marketingRegion=US&serverSideAds=false&sid=651&terminate=false&userId=
冥王星電視History,https://service-stitcher.clusters.pluto.tv/stitch/hls/channel/5d767b1c126c65d0a307355f/master.m3u8?advertisingId=&appName=web&appStoreUrl=&appVersion=DNT&app_name=&architecture=&buildVersion=&deviceDNT=1&deviceId=5d767b1c126c65d0a307355f&deviceLat=&deviceLon=&deviceMake=web&deviceModel=web&deviceType=web&deviceVersion=DNT&includeExtendedEvents=false&marketingRegion=DE&serverSideAds=false&sid=52e8f9a9-0583-11eb-97af-0242ac110002&terminate=false&userId=
冥王星電視History,https://service-stitcher.clusters.pluto.tv/v1/stitch/embed/hls/channel/5a4d35dfa5c02e717a234f86/master.m3u8?advertisingId=channel&appName=rokuchannel&appVersion=1.0&bmodel=bm1&channel_id=channel&content=channel&content_rating=ROKU_ADS_CONTENT_RATING&content_type=livefeed&coppa=false&deviceDNT=1&deviceId=channel&deviceMake=rokuChannel&deviceModel=web&deviceType=rokuChannel&deviceVersion=1.0&embedPartner=rokuChannel&genre=ROKU_ADS_CONTENT_GENRE&is_lat=1&platform=web&rdid=channel&studio_id=viacom&tags=ROKU_CONTENT_TAGS
冥王星電視History,https://service-stitcher.clusters.pluto.tv/v1/stitch/embed/hls/channel/5d4af1803e7983b391d73b13/master.m3u8?advertisingId=channel&appName=rokuchannel&appVersion=1.0&bmodel=bm1&channel_id=channel&content=channel&content_rating=ROKU_ADS_CONTENT_RATING&content_type=livefeed&coppa=false&deviceDNT=1&deviceId=channel&deviceMake=rokuChannel&deviceModel=web&deviceType=rokuChannel&deviceVersion=1.0&embedPartner=rokuChannel&genre=ROKU_ADS_CONTENT_GENRE&is_lat=1&platform=web&rdid=channel&studio_id=viacom&tags=ROKU_CONTENT_TAGS
電視好萊塢History,http://daddyserver.com:8080/Libra/k5GP3C3lGo/122863
電視好萊塢History,https://rpn1.bozztv.com/36bay2/gusa-tvshollywoohistory/mono.m3u8
EVE,http://zhanglulai.tpddns.cn:8181/73402384_0_11553_43193_0_1_202_201_236_202_16.ts
EVE,http://zhanglulai.tpddns.cn:818/73402384_0_11553_43193_0_1_202_201_236_202_16.ts
EVE,http://192.168.1.113:81/73402384_0_11553_43193_0_1_202_201_236_202_16.ts
EVE,http://live8.cdn.iptv8k.org/live/evediscoverykbmm11/s.m3u8
EVE,http://qqq.okokip.com:8040/nimble_live/215/chunks.m3u8
EVE,http://50.7.77.130:50142/47
EVE,http://www.yhlfs.xyz/iptvs/oofmTV.php?id=14
EVE,http://1369476438.rsc.cdn77.org:80/view.php?type=m3u8&id=cn_3_13006&key=84797b799ae18d1b
EVE,http://fu3.ottclub.info:1935/live/c743.stream/playlist.m3u8?a=5729e7cb&b=CV7FkpH1L1uTKMIHXI18zA
EVE,http://fu3.ottclub.info:1935/live/c243.stream/playlist.m3u8?a=5729e7cb&b=CV7FkpH1L1uTKMIHXI18zA
EVE,http://kb1.ottclub.info:443/water/c728.stream/playlist.m3u8?a=58f0bed9&b=Pu51-RhPi8nT4tEu1fDndw
EVE,http://210.201.54.102/gtlive/Dhome_sp.sdp/playlist.m3u8?t=C27EB7B0A9545EDF2331AE48B71F9EF8FCA5DD57B5A4F9868B1AD3A1E5496E61
##




🌶其他频道,#genre#

罪案偵緝頻道,p2p://1023005977:9900/5711b4dd000a088e00c0900213dc2f0f&link=HGFDSAihgfd
Ci罪案偵緝 HD,p2p://198.255.74.57:12396/5e50205f000d180c3d327d0e19e1ee23.ts
Ci罪案偵緝,p2p://144.217.121.122:18912/5b14098e0006282a17d2ef9371d76997.ts
Ci罪案偵緝HD,P2p://147.135.39.171:9906/5e9e6e670005ae36c07441c41ce47c56.ts
Ci罪案偵緝 HD,p2p://198.255.74.56:13296/5facafb400019c3200b8e702330cdbde.ts
罪案侦缉频道,P2p://170.178.164.245:6191/5ac2de990002a0c50002c5024a0fc428.ts
Ci罪案侦缉.HD,p2p://190.2.146.92:18912/5b14098e0006282a17d2ef9371d76997.ts
罪案侦缉频道,P2p://generationnexxxt.com:19806/21d13521990b4bd18f486a0fc6922e76
罪案侦缉频道,p2p://211.75.214.186:9906/57a6943800026d603b32d946b217f158.ts
罪案侦缉频道,P2p://170.178.164.242:6220/5b448b390007ebcd00052583c06f7ab6.ts
罪案偵緝頻道,p2p://fccs.word-tv.com:9906/62612fc9000147ae1859c35a8e800dbf
罪案侦缉频道,P2p://ns2.hellotvvod.com:9906/238e8f5257e74ba0af4fd1c9f13b1468.ts
罪案偵緝HD,P2p://sdgdklwos.finetv.tv:9906/59fd2824000df04802b14b7973731f54
罪案侦缉,P2p://generationnexxxt.com:19806/86f73b65769a48bbaf9bd83fd430df8a
EVE,tvbus://3zaD3rfctgJgBQejewurNYV7rFCbU3hR3b5ARup8ZmidjJkre3
EVE HD,p2p://198.255.74.57:12396/5e5020630006fd943d328b1ef0db2936.ts
EVE,p2p://1023005977:9900/5711b974000bd8de00d27e47397e1d61&link=HGFDSAihgfd
EVEHD,p2p://144.217.121.122:18912/5b14093f00043fac17d1ba7e4bed47f5
EVE,P2p://generationnexxxt.com:19806/b7d093144d42449fbb2a3414e0161878
EVE HD,p2p://198.255.74.56:13296/5facafbf0005195900b912df3d36c6c3.ts
EVE HD,P2p://147.135.39.171:9906/5ea13fe100060397cb76867304774d14.ts
HBO,P2p://generationnexxxt.com:19806/22e62f2a02e148b994e170e1f08c37d5
HBO强档巨献,P2p://generationnexxxt.com:19806/c3f10bb71ea74bb68c9390b3cc7c50c0
HBO原创巨献,P2p://generationnexxxt.com:19806/69492ac4bba34a11a8de21792a376baf
EVE,P2p://generationnexxxt.com:19806/cb003e49d5224ce09856f1c1770c32e5
美亚电影台,P2p://generationnexxxt.com:19806/dd098e4bd8c4432da26bf91235f43596
龙华电影,P2p://generationnexxxt.com:19806/caa18819e3884ce9813a067530171bf2
星卫电影台,P2p://generationnexxxt.com:19806/d050c38fac8c411aaa9b9a300aeaa1e4
靖天電影台HD,P2p://sdgdklwos.finetv.tv:9906/59fd358c00069b9502e5a7d404d940d2
靖天电影台,P2p://generationnexxxt.com:19806/37f508458d18414ea7ea39ef3094e33a
HBO Family,P2p://generationnexxxt.com:19806/0f5c08c72c364df8b0a97c837e81802d
CatchPlay电影台,P2p://generationnexxxt.com:19806/a1b6fd58115c4a7392ff9b43d5fa1461
壹电视电影台,P2p://generationnexxxt.com:19806/0c547d4f29db4bef9790f259ee669818
##




{"🏹其他频道,#genre#":[
{"name":"HBO","source":["zlive://173.208.209.114:7719/d700c8affdfd8daea555a4cc15da76b5"]},
{"name":"HBO HITS","source":["zlive://173.208.209.114:7719/b56c388ebb3440f58966ffd52cca637b"]},
{"name":"HBO Signature","source":["zlive://173.208.209.114:7719/3677ff4a033b338ab4542e95643290c9"]},
{"name":"美亚电影","source":["zlive://173.208.209.114:7719/27a882efd7d16411315d998117527593"]},
